country,city,university,program,level,duration_years,tuition_usd,living_cost_index,rent_usd,visa_fee_usd,insurance_usd,exchange_rate,total_cost,rank,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,no_of_indian_students,percentage,rank_2025,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
Australia,Gold Coast,Griffith University,Computer Science,Bachelor,3.0,35200,68.5,1400,450,650,1.52,110900.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,255,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
Australia,Gold Coast,Griffith University,Computer Science,Master,2.0,38200,68.5,1400,450,650,1.52,80300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,255,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
Australia,Gold Coast,Griffith University,Computer Science,PhD,4.0,28200,68.5,1400,450,650,1.52,119500.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,255,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
Australia,Townsville,James Cook University,Computer Science,Bachelor,3.0,34200,65.2,1200,450,650,1.52,107300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,445,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16.0,607,76.0,389,6.7,701+,88.9,103=,26.7
Australia,Townsville,James Cook University,Computer Science,Master,2.0,37200,65.2,1200,450,650,1.52,77900.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,445,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16.0,607,76.0,389,6.7,701+,88.9,103=,26.7
Australia,Townsville,James Cook University,Computer Science,PhD,4.0,27200,65.2,1200,450,650,1.52,114700.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,445,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16.0,607,76.0,389,6.7,701+,88.9,103=,26.7
Australia,Gold Coast,Griffith University,Data Science,Master,2.0,29000,65.4,1100,450,650,1.52,61300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,255,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
Australia,Hobart,University of Tasmania,Physics,Bachelor,3.0,26000,62.1,900,450,650,1.52,81800.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,293,16.0,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80.0,323,15.9,636,85.6,123,37
Australia,Wollongong,University of Wollongong,Mathematics,PhD,4.0,28000,63.4,950,450,650,1.52,116900.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,167,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,50.3
Austria,Vienna,University of Vienna,Social Sciences,Bachelor,3.0,1500,67.4,950,160,500,0.92,8010.0,11.0,65.1,22.5,44.7,66.4,59.3,102.4,300.0,0.0671445869153105,137,70.9,89,40.4,235,23.2,619,13.0,667,100.0,70,92.0,109,96.0,57,89.7,78,60.9,265,53.9
Austria,Klagenfurt,University of Klagenfurt,Data Science,Master,2.0,1500,69.4,720,160,850,0.92,5450.0,11.0,65.1,22.5,44.7,66.4,59.3,102.4,300.0,0.0671445869153105,611-620,5.7,601+,3.7,601+,51.3,298,11.3,701+,96.0,138,87.8,134,35.6,701+,9.2,701+,1.6,701+,
Bahrain,Manama,University of Bahrain,Software Engineering,Bachelor,4.0,7000,65.4,700,130,600,0.38,31530.0,34.0,52.3,20.5,37.0,46.9,44.7,105.0,27000.0,6.04301282237795,951-1000,9.7,601+,5.1,601+,7.0,701+,2.2,701+,87.0,213,8.9,701+,36.2,701+,36.3,350,1.1,701+,
Bangladesh,Khulna,Khulna University,Software Development,Master,2.0,2100,38.5,180,100,200,109.5,4860.0,117.0,22.5,2.4,12.8,25.7,12.8,33.1,1000.0,0.223815289717702,1201-1400,6.9,601+,5.0,601+,10.5,701+,5.3,701+,,,,,17.8,701+,3.8,701+,1.0,701+,
Belgium,Brussels,KU Leuven,Biomedical Sciences,Bachelor,3.0,3500,68.9,1000,180,550,0.92,14230.0,23.0,61.1,20.1,41.4,57.5,66.0,109.8,600.0,0.134289173830621,63,84.6,55,49.6,181,7.1,701+,91.0,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,70.3
Belgium,Leuven,KU Leuven,Artificial Intelligence,PhD,4.0,3800,76.5,950,180,800,0.92,19980.0,23.0,61.1,20.1,41.4,57.5,66.0,109.8,600.0,0.134289173830621,63,84.6,55,49.6,181,7.1,701+,91.0,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,70.3
Belgium,Ghent,Ghent University,Computer Science,Master,2.0,3500,72.8,850,180,800,0.92,9680.0,23.0,61.1,20.1,41.4,57.5,66.0,109.8,600.0,0.134289173830621,169,53.2,150,24.8,384,78.5,148,21.5,538,79.7,241,21.4,522,99.5,9,72.9,145,98.3,21,50.1
Belgium,Antwerp,University of Antwerp,Computer Science,PhD,4.0,3700,71.2,800,180,800,0.92,18980.0,23.0,61.1,20.1,41.4,57.5,66.0,109.8,600.0,0.134289173830621,267,24.1,361,11.3,601+,37.5,427,48.1,278,94.4,157,32.0,415,94.6,85,44.8,284,74.8,190=,38.7
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,38500,72.5,1600,235,900,1.35,81335.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,25,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1
Canada,Ottawa,University of Ottawa,Political Science,Bachelor,4.0,28900,68.5,1300,235,900,1.35,121935.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,189,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,47.3
Canada,Waterloo,University of Waterloo,Quantum Computing,PhD,4.0,21500,69.8,1300,235,900,1.35,92335.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,115,40.4,211,64.2,124,6.5,701+,78.9,118,75.8,257,71.3,206,84.6,256,58.9,209,93.3,68=,57.2
Canada,Edmonton,University of Alberta,Computer Science,PhD,4.0,22800,67.8,1200,235,900,1.35,97135.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,96,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,61.2
Canada,Vancouver,University of British Columbia,Psychology,Bachelor,4.0,31200,71.2,1700,235,900,1.35,132735.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,38,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
Canada,Hamilton,McMaster University,Software Engineering,Bachelor,4.0,32500,68.5,1200,235,900,1.35,135935.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,176,39.5,215,34.2,276,63.8,215,35.6,380,96.2,136,56.7,263,82.6,284,49.9,255,91.9,78=,49
Canada,London ON,Western University,Computer Science,Master,2.0,29800,65.8,1100,235,900,1.35,62935.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,120,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,55.8
Canada,Halifax,Dalhousie University,Data Science,Master,2.0,28500,64.5,1200,235,900,1.35,60535.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,275,19.4,463,16.7,513,12.9,701+,53.5,239,99.9,86,74.6,189,77.4,369,30.1,416,87.9,109,38.2
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4.0,26800,62.5,950,235,900,1.35,112135.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,661-670,13.6,601+,15.9,536,29.6,526,12.0,694,,,43.2,334,73.1,439,32.8,390,16.3,570=,
Canada,Regina,University of Regina,Software Systems,Bachelor,4.0,25500,61.8,900,235,900,1.35,106735.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,951-1000,3.3,601+,2.5,601+,3.9,701+,21.0,544,7.3,701+,38.3,365,39.1,701+,4.1,701+,44.6,343=,
Canada,Saskatoon,University of Saskatchewan,Data Analytics,Master,2.0,24500,62.8,1000,235,900,1.35,52135.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,340,11.1,601+,5.3,601+,18.2,701+,57.0,219,77.3,251,49.5,298,82.3,287,32.1,394,90.7,89=,33.2
Canada,Sherbrooke,Université de Sherbrooke,Computer Engineering,PhD,4.0,20500,61.5,850,235,900,1.35,86535.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,851-900,6.8,601+,4.2,601+,18.8,701+,16.9,604,54.7,341,7.6,701+,43.0,701+,23.4,483,8.0,701+,
Canada,Calgary,University of Calgary,Software Engineering,Bachelor,4.0,26500,69.2,1300,235,900,1.35,112335.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,198,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,46.3
Canada,Toronto,University of Toronto,Computer Science,Bachelor,4.0,45200,73.5,1800,235,600,1.35,188835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,25,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1
Canada,Toronto,University of Toronto,Computer Science,Master,2.0,28500,73.5,1800,235,600,1.35,61435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,25,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1
Canada,Vancouver,University of British Columbia,Computer Science,Bachelor,4.0,43800,71.2,1900,235,600,1.35,183635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,38,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
Canada,Vancouver,University of British Columbia,Computer Science,Master,2.0,27900,71.2,1900,235,600,1.35,60435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,38,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
Canada,Montreal,McGill University,Computer Science,Bachelor,4.0,41500,65.8,1500,235,600,1.35,172835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,29,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,83
Canada,Montreal,McGill University,Computer Science,Master,2.0,26800,65.8,1500,235,600,1.35,57435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,29,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,83
Canada,Waterloo,University of Waterloo,Computer Science,Bachelor,4.0,40900,62.4,1300,235,600,1.35,169635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,115,40.4,211,64.2,124,6.5,701+,78.9,118,75.8,257,71.3,206,84.6,256,58.9,209,93.3,68=,57.2
Canada,Waterloo,University of Waterloo,Computer Science,Master,2.0,26200,62.4,1300,235,600,1.35,55835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,115,40.4,211,64.2,124,6.5,701+,78.9,118,75.8,257,71.3,206,84.6,256,58.9,209,93.3,68=,57.2
Canada,Edmonton,University of Alberta,Computer Science,Bachelor,4.0,38200,61.9,1200,235,600,1.35,158435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,96,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,61.2
Canada,Edmonton,University of Alberta,Computer Science,Master,2.0,24900,61.9,1200,235,600,1.35,53035.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,96,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,61.2
Canada,Ottawa,University of Ottawa,Computer Science,Bachelor,4.0,37800,63.5,1400,235,600,1.35,157635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,189,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,47.3
Canada,Ottawa,University of Ottawa,Computer Science,Master,2.0,24500,63.5,1400,235,600,1.35,52635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,189,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,47.3
Canada,Calgary,University of Calgary,Computer Science,Bachelor,4.0,37200,62.8,1300,235,600,1.35,154835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,198,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,46.3
Canada,Calgary,University of Calgary,Computer Science,Master,2.0,24100,62.8,1300,235,600,1.35,51635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,198,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,46.3
Canada,Hamilton,McMaster University,Computer Science,Bachelor,4.0,36500,64.2,1250,235,600,1.35,151835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,176,39.5,215,34.2,276,63.8,215,35.6,380,96.2,136,56.7,263,82.6,284,49.9,255,91.9,78=,49
Canada,Hamilton,McMaster University,Computer Science,Master,2.0,23800,64.2,1250,235,600,1.35,50935.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,176,39.5,215,34.2,276,63.8,215,35.6,380,96.2,136,56.7,263,82.6,284,49.9,255,91.9,78=,49
Canada,London,Western University,Computer Science,Bachelor,4.0,35900,61.5,1200,235,600,1.35,149235.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,120,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,55.8
Canada,London,Western University,Computer Science,Master,2.0,23500,61.5,1200,235,600,1.35,50235.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,120,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,55.8
Canada,Halifax,Dalhousie University,Computer Science,Bachelor,4.0,34200,61.2,1200,235,600,1.35,142435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,275,19.4,463,16.7,513,12.9,701+,53.5,239,99.9,86,74.6,189,77.4,369,30.1,416,87.9,109,38.2
Canada,Halifax,Dalhousie University,Computer Science,Master,2.0,22600,61.2,1200,235,600,1.35,48435.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,275,19.4,463,16.7,513,12.9,701+,53.5,239,99.9,86,74.6,189,77.4,369,30.1,416,87.9,109,38.2
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4.0,33600,59.8,1100,235,600,1.35,139635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,661-670,13.6,601+,15.9,536,29.6,526,12.0,694,,,43.2,334,73.1,439,32.8,390,16.3,570=,
Canada,Winnipeg,University of Manitoba,Computer Science,Master,2.0,22300,59.8,1100,235,600,1.35,47635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,661-670,13.6,601+,15.9,536,29.6,526,12.0,694,,,43.2,334,73.1,439,32.8,390,16.3,570=,
Canada,Saskatoon,University of Saskatchewan,Computer Science,Bachelor,4.0,32400,58.2,950,235,600,1.35,134235.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,340,11.1,601+,5.3,601+,18.2,701+,57.0,219,77.3,251,49.5,298,82.3,287,32.1,394,90.7,89=,33.2
Canada,Saskatoon,University of Saskatchewan,Computer Science,Master,2.0,21700,58.2,950,235,600,1.35,46135.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,340,11.1,601+,5.3,601+,18.2,701+,57.0,219,77.3,251,49.5,298,82.3,287,32.1,394,90.7,89=,33.2
Canada,Regina,University of Regina,Computer Science,Bachelor,4.0,31200,57.5,900,235,600,1.35,129235.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,951-1000,3.3,601+,2.5,601+,3.9,701+,21.0,544,7.3,701+,38.3,365,39.1,701+,4.1,701+,44.6,343=,
Canada,Regina,University of Regina,Computer Science,Master,2.0,21100,57.5,900,235,600,1.35,44835.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,951-1000,3.3,601+,2.5,601+,3.9,701+,21.0,544,7.3,701+,38.3,365,39.1,701+,4.1,701+,44.6,343=,
Canada,Windsor,University of Windsor,Computer Science,Bachelor,4.0,30000,58.9,950,235,600,1.35,124635.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,547,3.9,601+,3.9,601+,2.2,701+,36.2,378,88.7,199,83.8,159,51.1,701+,25.8,458,38.5,381=,22.6
Canada,Windsor,University of Windsor,Computer Science,Master,2.0,20500,58.9,950,235,600,1.35,43735.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,547,3.9,601+,3.9,601+,2.2,701+,36.2,378,88.7,199,83.8,159,51.1,701+,25.8,458,38.5,381=,22.6
Canada,Moncton,University of New Brunswick,Computer Science,Bachelor,4.0,29400,57.2,900,235,600,1.35,122035.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,681-690,4.9,601+,8.3,601+,19.9,677,27.5,470,61.0,320,34.1,397,48.7,701+,17.3,613,29.0,453=,
Canada,Moncton,University of New Brunswick,Computer Science,Master,2.0,20200,57.2,900,235,600,1.35,43035.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,681-690,4.9,601+,8.3,601+,19.9,677,27.5,470,61.0,320,34.1,397,48.7,701+,17.3,613,29.0,453=,
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,45000,73.8,1700,235,750,1.35,94385.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,25,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1
Canada,Vancouver,University of British Columbia,Environmental Science,Master,2.0,42000,71.2,1600,235,750,1.35,88185.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,38,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
Canada,Montreal,McGill University,Computer Science,PhD,4.0,38000,68.9,1400,235,750,1.35,158585.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,29,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,83
Canada,Ottawa,University of Ottawa,Artificial Intelligence,Master,2.0,40000,67.8,1300,235,750,1.35,83585.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,189,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,47.3
Canada,Calgary,University of Calgary,Mathematics,Bachelor,4.0,35000,65.4,1200,235,750,1.35,145785.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,198,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,46.3
Canada,Edmonton,University of Alberta,Data Science,Master,2.0,37000,64.3,1100,235,750,1.35,77185.0,12.0,64.8,33.2,49.6,71.2,61.7,103.7,50000.0,11.1907644858851,96,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,61.2
