rank_2025,institution_name,location,university_rating,gre_score,toefl_score,sop,lor,cgpa,research,chance_of_admit
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,331,116,4.0,4.0,9.26,1,0.93
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,336,118,4.5,4.0,9.19,1,0.92
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,324,114,5.0,4.5,9.08,1,0.89
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,332,118,5.0,5.0,9.47,1,0.94
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,323,108,4.0,4.0,8.74,1,0.81
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,324,107,3.5,4.0,8.66,1,0.81
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,338,115,4.5,5.0,9.23,1,0.91
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,335,117,5.0,5.0,9.82,1,0.96
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,334,119,4.5,5.0,9.54,1,0.94
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,325,114,4.0,5.0,9.46,1,0.91
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,323,111,4.0,5.0,9.86,1,0.92
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,340,115,5.0,4.5,9.06,1,0.95
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,321,114,4.5,4.5,9.16,1,0.87
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,324,113,4.0,5.0,9.25,1,0.92
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,328,116,4.5,5.0,9.08,1,0.91
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,318,101,3.5,5.0,8.78,1,0.78
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,320,110,4.0,4.0,9.27,1,0.87
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,304,103,5.0,3.0,7.92,0,0.71
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,332,108,4.5,4.0,9.02,1,0.87
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,337,117,5.0,5.0,9.87,1,0.96
1.0,Massachusetts Institute of Technology (MIT) ,United States,5,330,120,4.5,5.0,9.56,1,0.93
2.0,Imperial College London,United Kingdom,5,330,115,4.5,3.0,9.34,1,0.9
2.0,Imperial College London,United Kingdom,5,328,116,5.0,5.0,9.5,1,0.94
2.0,Imperial College London,United Kingdom,5,334,119,5.0,4.5,9.7,1,0.95
2.0,Imperial College London,United Kingdom,5,336,119,4.0,3.5,9.8,1,0.97
2.0,Imperial College London,United Kingdom,5,340,120,4.5,4.5,9.6,1,0.94
2.0,Imperial College London,United Kingdom,5,322,109,4.5,3.5,8.8,0,0.76
2.0,Imperial College London,United Kingdom,5,340,114,4.0,4.0,9.6,1,0.9
2.0,Imperial College London,United Kingdom,5,331,112,4.0,5.0,9.8,1,0.94
2.0,Imperial College London,United Kingdom,5,320,110,5.0,5.0,9.2,1,0.88
2.0,Imperial College London,United Kingdom,5,326,113,4.5,4.0,9.4,1,0.91
2.0,Imperial College London,United Kingdom,5,322,110,5.0,4.0,9.1,1,0.88
2.0,Imperial College London,United Kingdom,5,329,114,4.0,5.0,9.3,1,0.86
2.0,Imperial College London,United Kingdom,5,339,119,4.5,4.0,9.7,0,0.89
2.0,Imperial College London,United Kingdom,5,332,118,5.0,5.0,9.64,1,0.94
2.0,Imperial College London,United Kingdom,5,336,112,5.0,5.0,9.76,1,0.96
2.0,Imperial College London,United Kingdom,5,321,111,5.0,5.0,9.45,1,0.93
2.0,Imperial College London,United Kingdom,5,320,110,5.0,4.5,9.22,1,0.92
2.0,Imperial College London,United Kingdom,5,322,115,4.0,4.5,9.36,1,0.92
2.0,Imperial College London,United Kingdom,5,340,115,4.5,4.5,9.45,1,0.94
2.0,Imperial College London,United Kingdom,5,331,116,5.0,5.0,9.38,1,0.93
2.0,Imperial College London,United Kingdom,5,304,103,5.0,4.0,8.64,0,0.68
2.0,Imperial College London,United Kingdom,5,305,108,3.0,3.0,8.48,0,0.61
2.0,Imperial College London,United Kingdom,5,327,104,3.0,3.5,8.84,1,0.71
2.0,Imperial College London,United Kingdom,5,335,117,5.0,5.0,9.56,1,0.94
2.0,Imperial College London,United Kingdom,5,334,119,4.5,4.5,9.48,1,0.94
2.0,Imperial College London,United Kingdom,5,333,118,5.0,5.0,9.35,1,0.92
2.0,Imperial College London,United Kingdom,5,339,114,4.0,4.5,9.76,1,0.96
2.0,Imperial College London,United Kingdom,5,303,105,5.0,4.5,8.65,0,0.77
2.0,Imperial College London,United Kingdom,5,309,105,3.5,3.5,8.56,0,0.71
2.0,Imperial College London,United Kingdom,5,323,112,4.0,4.5,8.78,0,0.79
2.0,Imperial College London,United Kingdom,5,333,113,4.0,4.0,9.28,1,0.89
2.0,Imperial College London,United Kingdom,5,331,115,4.0,3.5,9.44,1,0.92
2.0,Imperial College London,United Kingdom,5,332,116,5.0,5.0,9.28,1,0.94
2.0,Imperial College London,United Kingdom,5,321,112,5.0,5.0,9.06,1,0.86
2.0,Imperial College London,United Kingdom,5,322,110,4.5,4.0,8.97,0,0.78
2.0,Imperial College London,United Kingdom,5,334,117,4.0,4.5,9.07,1,0.89
2.0,Imperial College London,United Kingdom,5,335,118,4.5,3.5,9.44,1,0.93
2.0,Imperial College London,United Kingdom,5,331,115,4.5,3.5,9.36,1,0.93
2.0,Imperial College London,United Kingdom,5,324,112,5.0,5.0,9.08,1,0.88
2.0,Imperial College London,United Kingdom,5,324,111,4.5,4.0,9.16,1,0.9
2.0,Imperial College London,United Kingdom,5,323,110,4.0,5.0,8.98,1,0.87
2.0,Imperial College London,United Kingdom,5,322,114,4.5,4.0,8.94,1,0.86
2.0,Imperial College London,United Kingdom,5,336,118,4.5,5.0,9.53,1,0.94
2.0,Imperial College London,United Kingdom,5,340,120,4.5,4.5,9.91,1,0.97
2.0,Imperial College London,United Kingdom,5,334,120,4.0,5.0,9.87,1,0.97
2.0,Imperial College London,United Kingdom,5,333,119,5.0,4.5,9.78,1,0.96
2.0,Imperial College London,United Kingdom,5,330,116,5.0,4.5,9.36,1,0.93
2.0,Imperial College London,United Kingdom,5,330,113,5.0,4.0,9.31,1,0.91
2.0,Imperial College London,United Kingdom,5,326,111,4.5,4.0,9.23,1,0.88
2.0,Imperial College London,United Kingdom,5,329,114,4.5,5.0,9.19,1,0.86
2.0,Imperial College London,United Kingdom,5,327,108,5.0,3.5,9.13,1,0.87
2.0,Imperial College London,United Kingdom,5,329,113,5.0,4.5,9.45,1,0.89
2.0,Imperial College London,United Kingdom,5,331,116,4.0,4.0,9.26,1,0.93
2.0,Imperial College London,United Kingdom,5,336,118,4.5,4.0,9.19,1,0.92
2.0,Imperial College London,United Kingdom,5,324,114,5.0,4.5,9.08,1,0.89
2.0,Imperial College London,United Kingdom,5,332,118,5.0,5.0,9.47,1,0.94
2.0,Imperial College London,United Kingdom,5,323,108,4.0,4.0,8.74,1,0.81
2.0,Imperial College London,United Kingdom,5,324,107,3.5,4.0,8.66,1,0.81
2.0,Imperial College London,United Kingdom,5,338,115,4.5,5.0,9.23,1,0.91
2.0,Imperial College London,United Kingdom,5,335,117,5.0,5.0,9.82,1,0.96
2.0,Imperial College London,United Kingdom,5,334,119,4.5,5.0,9.54,1,0.94
2.0,Imperial College London,United Kingdom,5,325,114,4.0,5.0,9.46,1,0.91
2.0,Imperial College London,United Kingdom,5,323,111,4.0,5.0,9.86,1,0.92
2.0,Imperial College London,United Kingdom,5,340,115,5.0,4.5,9.06,1,0.95
2.0,Imperial College London,United Kingdom,5,321,114,4.5,4.5,9.16,1,0.87
2.0,Imperial College London,United Kingdom,5,324,113,4.0,5.0,9.25,1,0.92
2.0,Imperial College London,United Kingdom,5,328,116,4.5,5.0,9.08,1,0.91
2.0,Imperial College London,United Kingdom,5,318,101,3.5,5.0,8.78,1,0.78
2.0,Imperial College London,United Kingdom,5,320,110,4.0,4.0,9.27,1,0.87
2.0,Imperial College London,United Kingdom,5,304,103,5.0,3.0,7.92,0,0.71
2.0,Imperial College London,United Kingdom,5,332,108,4.5,4.0,9.02,1,0.87
2.0,Imperial College London,United Kingdom,5,337,117,5.0,5.0,9.87,1,0.96
2.0,Imperial College London,United Kingdom,5,330,120,4.5,5.0,9.56,1,0.93
3.0,University of Oxford,United Kingdom,5,330,115,4.5,3.0,9.34,1,0.9
3.0,University of Oxford,United Kingdom,5,328,116,5.0,5.0,9.5,1,0.94
3.0,University of Oxford,United Kingdom,5,334,119,5.0,4.5,9.7,1,0.95
3.0,University of Oxford,United Kingdom,5,336,119,4.0,3.5,9.8,1,0.97
3.0,University of Oxford,United Kingdom,5,340,120,4.5,4.5,9.6,1,0.94
3.0,University of Oxford,United Kingdom,5,322,109,4.5,3.5,8.8,0,0.76
3.0,University of Oxford,United Kingdom,5,340,114,4.0,4.0,9.6,1,0.9
3.0,University of Oxford,United Kingdom,5,331,112,4.0,5.0,9.8,1,0.94
3.0,University of Oxford,United Kingdom,5,320,110,5.0,5.0,9.2,1,0.88
3.0,University of Oxford,United Kingdom,5,326,113,4.5,4.0,9.4,1,0.91
3.0,University of Oxford,United Kingdom,5,322,110,5.0,4.0,9.1,1,0.88
3.0,University of Oxford,United Kingdom,5,329,114,4.0,5.0,9.3,1,0.86
3.0,University of Oxford,United Kingdom,5,339,119,4.5,4.0,9.7,0,0.89
3.0,University of Oxford,United Kingdom,5,332,118,5.0,5.0,9.64,1,0.94
3.0,University of Oxford,United Kingdom,5,336,112,5.0,5.0,9.76,1,0.96
3.0,University of Oxford,United Kingdom,5,321,111,5.0,5.0,9.45,1,0.93
3.0,University of Oxford,United Kingdom,5,320,110,5.0,4.5,9.22,1,0.92
3.0,University of Oxford,United Kingdom,5,322,115,4.0,4.5,9.36,1,0.92
3.0,University of Oxford,United Kingdom,5,340,115,4.5,4.5,9.45,1,0.94
3.0,University of Oxford,United Kingdom,5,331,116,5.0,5.0,9.38,1,0.93
3.0,University of Oxford,United Kingdom,5,304,103,5.0,4.0,8.64,0,0.68
3.0,University of Oxford,United Kingdom,5,305,108,3.0,3.0,8.48,0,0.61
3.0,University of Oxford,United Kingdom,5,327,104,3.0,3.5,8.84,1,0.71
3.0,University of Oxford,United Kingdom,5,335,117,5.0,5.0,9.56,1,0.94
3.0,University of Oxford,United Kingdom,5,334,119,4.5,4.5,9.48,1,0.94
3.0,University of Oxford,United Kingdom,5,333,118,5.0,5.0,9.35,1,0.92
3.0,University of Oxford,United Kingdom,5,339,114,4.0,4.5,9.76,1,0.96
3.0,University of Oxford,United Kingdom,5,303,105,5.0,4.5,8.65,0,0.77
3.0,University of Oxford,United Kingdom,5,309,105,3.5,3.5,8.56,0,0.71
3.0,University of Oxford,United Kingdom,5,323,112,4.0,4.5,8.78,0,0.79
3.0,University of Oxford,United Kingdom,5,333,113,4.0,4.0,9.28,1,0.89
3.0,University of Oxford,United Kingdom,5,331,115,4.0,3.5,9.44,1,0.92
3.0,University of Oxford,United Kingdom,5,332,116,5.0,5.0,9.28,1,0.94
3.0,University of Oxford,United Kingdom,5,321,112,5.0,5.0,9.06,1,0.86
3.0,University of Oxford,United Kingdom,5,322,110,4.5,4.0,8.97,0,0.78
3.0,University of Oxford,United Kingdom,5,334,117,4.0,4.5,9.07,1,0.89
3.0,University of Oxford,United Kingdom,5,335,118,4.5,3.5,9.44,1,0.93
3.0,University of Oxford,United Kingdom,5,331,115,4.5,3.5,9.36,1,0.93
3.0,University of Oxford,United Kingdom,5,324,112,5.0,5.0,9.08,1,0.88
3.0,University of Oxford,United Kingdom,5,324,111,4.5,4.0,9.16,1,0.9
3.0,University of Oxford,United Kingdom,5,323,110,4.0,5.0,8.98,1,0.87
3.0,University of Oxford,United Kingdom,5,322,114,4.5,4.0,8.94,1,0.86
3.0,University of Oxford,United Kingdom,5,336,118,4.5,5.0,9.53,1,0.94
3.0,University of Oxford,United Kingdom,5,340,120,4.5,4.5,9.91,1,0.97
3.0,University of Oxford,United Kingdom,5,334,120,4.0,5.0,9.87,1,0.97
3.0,University of Oxford,United Kingdom,5,333,119,5.0,4.5,9.78,1,0.96
3.0,University of Oxford,United Kingdom,5,330,116,5.0,4.5,9.36,1,0.93
3.0,University of Oxford,United Kingdom,5,330,113,5.0,4.0,9.31,1,0.91
3.0,University of Oxford,United Kingdom,5,326,111,4.5,4.0,9.23,1,0.88
3.0,University of Oxford,United Kingdom,5,329,114,4.5,5.0,9.19,1,0.86
3.0,University of Oxford,United Kingdom,5,327,108,5.0,3.5,9.13,1,0.87
3.0,University of Oxford,United Kingdom,5,329,113,5.0,4.5,9.45,1,0.89
3.0,University of Oxford,United Kingdom,5,331,116,4.0,4.0,9.26,1,0.93
3.0,University of Oxford,United Kingdom,5,336,118,4.5,4.0,9.19,1,0.92
3.0,University of Oxford,United Kingdom,5,324,114,5.0,4.5,9.08,1,0.89
3.0,University of Oxford,United Kingdom,5,332,118,5.0,5.0,9.47,1,0.94
3.0,University of Oxford,United Kingdom,5,323,108,4.0,4.0,8.74,1,0.81
3.0,University of Oxford,United Kingdom,5,324,107,3.5,4.0,8.66,1,0.81
3.0,University of Oxford,United Kingdom,5,338,115,4.5,5.0,9.23,1,0.91
3.0,University of Oxford,United Kingdom,5,335,117,5.0,5.0,9.82,1,0.96
3.0,University of Oxford,United Kingdom,5,334,119,4.5,5.0,9.54,1,0.94
3.0,University of Oxford,United Kingdom,5,325,114,4.0,5.0,9.46,1,0.91
3.0,University of Oxford,United Kingdom,5,323,111,4.0,5.0,9.86,1,0.92
3.0,University of Oxford,United Kingdom,5,340,115,5.0,4.5,9.06,1,0.95
3.0,University of Oxford,United Kingdom,5,321,114,4.5,4.5,9.16,1,0.87
3.0,University of Oxford,United Kingdom,5,324,113,4.0,5.0,9.25,1,0.92
3.0,University of Oxford,United Kingdom,5,328,116,4.5,5.0,9.08,1,0.91
3.0,University of Oxford,United Kingdom,5,318,101,3.5,5.0,8.78,1,0.78
3.0,University of Oxford,United Kingdom,5,320,110,4.0,4.0,9.27,1,0.87
3.0,University of Oxford,United Kingdom,5,304,103,5.0,3.0,7.92,0,0.71
3.0,University of Oxford,United Kingdom,5,332,108,4.5,4.0,9.02,1,0.87
3.0,University of Oxford,United Kingdom,5,337,117,5.0,5.0,9.87,1,0.96
3.0,University of Oxford,United Kingdom,5,330,120,4.5,5.0,9.56,1,0.93
4.0,Harvard University,United States,5,330,115,4.5,3.0,9.34,1,0.9
4.0,Harvard University,United States,5,328,116,5.0,5.0,9.5,1,0.94
4.0,Harvard University,United States,5,334,119,5.0,4.5,9.7,1,0.95
4.0,Harvard University,United States,5,336,119,4.0,3.5,9.8,1,0.97
4.0,Harvard University,United States,5,340,120,4.5,4.5,9.6,1,0.94
4.0,Harvard University,United States,5,322,109,4.5,3.5,8.8,0,0.76
4.0,Harvard University,United States,5,340,114,4.0,4.0,9.6,1,0.9
4.0,Harvard University,United States,5,331,112,4.0,5.0,9.8,1,0.94
4.0,Harvard University,United States,5,320,110,5.0,5.0,9.2,1,0.88
4.0,Harvard University,United States,5,326,113,4.5,4.0,9.4,1,0.91
4.0,Harvard University,United States,5,322,110,5.0,4.0,9.1,1,0.88
4.0,Harvard University,United States,5,329,114,4.0,5.0,9.3,1,0.86
4.0,Harvard University,United States,5,339,119,4.5,4.0,9.7,0,0.89
4.0,Harvard University,United States,5,332,118,5.0,5.0,9.64,1,0.94
4.0,Harvard University,United States,5,336,112,5.0,5.0,9.76,1,0.96
4.0,Harvard University,United States,5,321,111,5.0,5.0,9.45,1,0.93
4.0,Harvard University,United States,5,320,110,5.0,4.5,9.22,1,0.92
4.0,Harvard University,United States,5,322,115,4.0,4.5,9.36,1,0.92
4.0,Harvard University,United States,5,340,115,4.5,4.5,9.45,1,0.94
4.0,Harvard University,United States,5,331,116,5.0,5.0,9.38,1,0.93
4.0,Harvard University,United States,5,304,103,5.0,4.0,8.64,0,0.68
4.0,Harvard University,United States,5,305,108,3.0,3.0,8.48,0,0.61
4.0,Harvard University,United States,5,327,104,3.0,3.5,8.84,1,0.71
4.0,Harvard University,United States,5,335,117,5.0,5.0,9.56,1,0.94
4.0,Harvard University,United States,5,334,119,4.5,4.5,9.48,1,0.94
4.0,Harvard University,United States,5,333,118,5.0,5.0,9.35,1,0.92
4.0,Harvard University,United States,5,339,114,4.0,4.5,9.76,1,0.96
4.0,Harvard University,United States,5,303,105,5.0,4.5,8.65,0,0.77
4.0,Harvard University,United States,5,309,105,3.5,3.5,8.56,0,0.71
4.0,Harvard University,United States,5,323,112,4.0,4.5,8.78,0,0.79
4.0,Harvard University,United States,5,333,113,4.0,4.0,9.28,1,0.89
4.0,Harvard University,United States,5,331,115,4.0,3.5,9.44,1,0.92
4.0,Harvard University,United States,5,332,116,5.0,5.0,9.28,1,0.94
4.0,Harvard University,United States,5,321,112,5.0,5.0,9.06,1,0.86
4.0,Harvard University,United States,5,322,110,4.5,4.0,8.97,0,0.78
4.0,Harvard University,United States,5,334,117,4.0,4.5,9.07,1,0.89
4.0,Harvard University,United States,5,335,118,4.5,3.5,9.44,1,0.93
4.0,Harvard University,United States,5,331,115,4.5,3.5,9.36,1,0.93
4.0,Harvard University,United States,5,324,112,5.0,5.0,9.08,1,0.88
4.0,Harvard University,United States,5,324,111,4.5,4.0,9.16,1,0.9
4.0,Harvard University,United States,5,323,110,4.0,5.0,8.98,1,0.87
4.0,Harvard University,United States,5,322,114,4.5,4.0,8.94,1,0.86
4.0,Harvard University,United States,5,336,118,4.5,5.0,9.53,1,0.94
4.0,Harvard University,United States,5,340,120,4.5,4.5,9.91,1,0.97
4.0,Harvard University,United States,5,334,120,4.0,5.0,9.87,1,0.97
4.0,Harvard University,United States,5,333,119,5.0,4.5,9.78,1,0.96
4.0,Harvard University,United States,5,330,116,5.0,4.5,9.36,1,0.93
4.0,Harvard University,United States,5,330,113,5.0,4.0,9.31,1,0.91
4.0,Harvard University,United States,5,326,111,4.5,4.0,9.23,1,0.88
4.0,Harvard University,United States,5,329,114,4.5,5.0,9.19,1,0.86
4.0,Harvard University,United States,5,327,108,5.0,3.5,9.13,1,0.87
4.0,Harvard University,United States,5,329,113,5.0,4.5,9.45,1,0.89
4.0,Harvard University,United States,5,331,116,4.0,4.0,9.26,1,0.93
4.0,Harvard University,United States,5,336,118,4.5,4.0,9.19,1,0.92
4.0,Harvard University,United States,5,324,114,5.0,4.5,9.08,1,0.89
4.0,Harvard University,United States,5,332,118,5.0,5.0,9.47,1,0.94
4.0,Harvard University,United States,5,323,108,4.0,4.0,8.74,1,0.81
4.0,Harvard University,United States,5,324,107,3.5,4.0,8.66,1,0.81
4.0,Harvard University,United States,5,338,115,4.5,5.0,9.23,1,0.91
4.0,Harvard University,United States,5,335,117,5.0,5.0,9.82,1,0.96
4.0,Harvard University,United States,5,334,119,4.5,5.0,9.54,1,0.94
4.0,Harvard University,United States,5,325,114,4.0,5.0,9.46,1,0.91
4.0,Harvard University,United States,5,323,111,4.0,5.0,9.86,1,0.92
4.0,Harvard University,United States,5,340,115,5.0,4.5,9.06,1,0.95
4.0,Harvard University,United States,5,321,114,4.5,4.5,9.16,1,0.87
4.0,Harvard University,United States,5,324,113,4.0,5.0,9.25,1,0.92
4.0,Harvard University,United States,5,328,116,4.5,5.0,9.08,1,0.91
4.0,Harvard University,United States,5,318,101,3.5,5.0,8.78,1,0.78
4.0,Harvard University,United States,5,320,110,4.0,4.0,9.27,1,0.87
4.0,Harvard University,United States,5,304,103,5.0,3.0,7.92,0,0.71
4.0,Harvard University,United States,5,332,108,4.5,4.0,9.02,1,0.87
4.0,Harvard University,United States,5,337,117,5.0,5.0,9.87,1,0.96
4.0,Harvard University,United States,5,330,120,4.5,5.0,9.56,1,0.93
5.0,University of Cambridge,United Kingdom,5,330,115,4.5,3.0,9.34,1,0.9
5.0,University of Cambridge,United Kingdom,5,328,116,5.0,5.0,9.5,1,0.94
5.0,University of Cambridge,United Kingdom,5,334,119,5.0,4.5,9.7,1,0.95
5.0,University of Cambridge,United Kingdom,5,336,119,4.0,3.5,9.8,1,0.97
5.0,University of Cambridge,United Kingdom,5,340,120,4.5,4.5,9.6,1,0.94
5.0,University of Cambridge,United Kingdom,5,322,109,4.5,3.5,8.8,0,0.76
5.0,University of Cambridge,United Kingdom,5,340,114,4.0,4.0,9.6,1,0.9
5.0,University of Cambridge,United Kingdom,5,331,112,4.0,5.0,9.8,1,0.94
5.0,University of Cambridge,United Kingdom,5,320,110,5.0,5.0,9.2,1,0.88
5.0,University of Cambridge,United Kingdom,5,326,113,4.5,4.0,9.4,1,0.91
5.0,University of Cambridge,United Kingdom,5,322,110,5.0,4.0,9.1,1,0.88
5.0,University of Cambridge,United Kingdom,5,329,114,4.0,5.0,9.3,1,0.86
5.0,University of Cambridge,United Kingdom,5,339,119,4.5,4.0,9.7,0,0.89
5.0,University of Cambridge,United Kingdom,5,332,118,5.0,5.0,9.64,1,0.94
5.0,University of Cambridge,United Kingdom,5,336,112,5.0,5.0,9.76,1,0.96
5.0,University of Cambridge,United Kingdom,5,321,111,5.0,5.0,9.45,1,0.93
5.0,University of Cambridge,United Kingdom,5,320,110,5.0,4.5,9.22,1,0.92
5.0,University of Cambridge,United Kingdom,5,322,115,4.0,4.5,9.36,1,0.92
5.0,University of Cambridge,United Kingdom,5,340,115,4.5,4.5,9.45,1,0.94
5.0,University of Cambridge,United Kingdom,5,331,116,5.0,5.0,9.38,1,0.93
5.0,University of Cambridge,United Kingdom,5,304,103,5.0,4.0,8.64,0,0.68
5.0,University of Cambridge,United Kingdom,5,305,108,3.0,3.0,8.48,0,0.61
5.0,University of Cambridge,United Kingdom,5,327,104,3.0,3.5,8.84,1,0.71
5.0,University of Cambridge,United Kingdom,5,335,117,5.0,5.0,9.56,1,0.94
5.0,University of Cambridge,United Kingdom,5,334,119,4.5,4.5,9.48,1,0.94
5.0,University of Cambridge,United Kingdom,5,333,118,5.0,5.0,9.35,1,0.92
5.0,University of Cambridge,United Kingdom,5,339,114,4.0,4.5,9.76,1,0.96
5.0,University of Cambridge,United Kingdom,5,303,105,5.0,4.5,8.65,0,0.77
5.0,University of Cambridge,United Kingdom,5,309,105,3.5,3.5,8.56,0,0.71
5.0,University of Cambridge,United Kingdom,5,323,112,4.0,4.5,8.78,0,0.79
5.0,University of Cambridge,United Kingdom,5,333,113,4.0,4.0,9.28,1,0.89
